,breed,size,group,coat_type,barking_level,trainability,shedding,activity_level
174,Mudi,medium,miscellaneous-class,medium,frequent,eager-to-please,occasional,energetic
175,Neapolitan-mastiff,xlarge,working,short,when-necessary,may-be-stubborn,seasonal,regular-exercise
176,Nederlandse-kooikerhondje,medium,sporting,short,when-necessary,eager-to-please,seasonal,regular-exercise
177,Newfoundland,xlarge,working,medium,when-necessary,easy-training,seasonal,regular-exercise
178,Norfolk-terrier,small,terrier,medium,medium,agreeable,seasonal,regular-exercise
179,Norrbottenspets,small,miscellaneous-class,short,medium,eager-to-please,occasional,energetic
180,Norwegian-buhund,medium,herding,medium,frequent,easy-training,seasonal,energetic
181,Norwegian-elkhound,medium,hound,medium,medium,agreeable,seasonal,regular-exercise
182,Norwegian-lundehund,small,non-sporting,short,medium,agreeable,seasonal,energetic
183,Norwich-terrier,small,terrier,medium,medium,agreeable,occasional,energetic
184,Nova-scotia-duck-tolling-retriever,medium,sporting,medium,when-necessary,easy-training,seasonal,needs-lots-of-activity
185,Old-english-sheepdog,large,herding,long,medium,independent,seasonal,regular-exercise
186,Otterhound,large,hound,medium,likes-to-be-vocal,may-be-stubborn,seasonal,regular-exercise
187,Papillon,xsmall,toy,medium,likes-to-be-vocal,eager-to-please,seasonal,regular-exercise
188,Parson-russell-terrier,small,terrier,short,medium,agreeable,occasional,needs-lots-of-activity
189,Pekingese,small,toy,long,when-necessary,may-be-stubborn,seasonal,calm
190,Pembroke-welsh-corgi,small,herding,medium,medium,agreeable,regularly,energetic
191,Perro-de-presa-canario,large,foundation-stock-service,smooth,when-necessary,agreeable,seasonal,calm
192,Peruvian-inca-orchid,small,miscellaneous-class,hairless,medium,agreeable,regularly,energetic
193,Petit-basset-griffon-vendeen,medium,hound,medium,medium,independent,occasional,energetic
194,Pharaoh-hound,medium,hound,smooth,likes-to-be-vocal,independent,seasonal,energetic
195,Plott-hound,medium,hound,short,frequent,independent,occasional,energetic
196,Pointer,large,sporting,smooth,medium,agreeable,occasional,energetic
197,Polish-lowland-sheepdog,medium,herding,long,medium,may-be-stubborn,seasonal,energetic
198,Pomeranian,xsmall,toy,long,medium,agreeable,seasonal,regular-exercise
199,Poodle-miniature,small,non-sporting,long,medium,eager-to-please,infrequent,energetic
200,Poodle-standard,medium,non-sporting,long,medium,eager-to-please,infrequent,energetic
201,Poodle-toy,xsmall,toy,long,medium,eager-to-please,infrequent,energetic
202,Porcelaine,medium,foundation-stock-service,short,infrequent,unknown,unknown,energetic
203,Portuguese-podengo,medium,miscellaneous-class,short,medium,agreeable,regularly,energetic
204,Portuguese-podengo-pequeno,small,hound,short,medium,agreeable,seasonal,energetic
205,Portuguese-pointer,medium,foundation-stock-service,short,medium,eager-to-please,occasional,energetic
206,Portuguese-sheepdog,medium,foundation-stock-service,long,medium,easy-training,occasional,energetic
207,Portuguese-water-dog,medium,working,long,medium,easy-training,seasonal,energetic
208,Pudelpointer,medium,foundation-stock-service,medium,medium,easy-training,seasonal,regular-exercise
209,Pug,small,toy,short,when-necessary,agreeable,regularly,regular-exercise
210,Puli,medium,herding,long,medium,independent,infrequent,regular-exercise
211,Pumi,small,herding,medium,medium,easy-training,infrequent,energetic
212,Pyrenean-mastiff,xlarge,foundation-stock-service,medium,when-necessary,may-be-stubborn,seasonal,calm
213,Pyrenean-shepherd,medium,herding,long,frequent,agreeable,seasonal,energetic
214,Rafeiro-do-alentejo,large,foundation-stock-service,medium,when-necessary,independent,seasonal,calm
215,Rat-terrier,small,terrier,short,medium,easy-training,seasonal,regular-exercise
216,Redbone-coonhound,large,hound,short,frequent,easy-training,seasonal,regular-exercise
217,Rhodesian-ridgeback,large,hound,short,infrequent,independent,seasonal,regular-exercise
218,Romanian-mioritic-shepherd-dog,xlarge,foundation-stock-service,long,when-necessary,independent,seasonal,calm
219,Rottweiler,large,working,short,when-necessary,agreeable,seasonal,regular-exercise
220,Russell-terrier,small,terrier,short,medium,agreeable,occasional,needs-lots-of-activity
221,Russian-toy,xsmall,miscellaneous-class,medium,medium,agreeable,infrequent,energetic
222,Russian-tsvetnaya-bolonka,xsmall,foundation-stock-service,medium,frequent,agreeable,infrequent,regular-exercise
223,St-bernard,xlarge,working,medium,when-necessary,agreeable,seasonal,regular-exercise
224,Saluki,large,hound,short,medium,independent,occasional,energetic
225,Samoyed,medium,working,long,likes-to-be-vocal,independent,seasonal,energetic
226,Schapendoes,medium,foundation-stock-service,long,medium,easy-training,seasonal,regular-exercise
227,Schipperke,small,non-sporting,medium,frequent,independent,seasonal,energetic
228,Scottish-deerhound,xlarge,hound,medium,when-necessary,independent,seasonal,regular-exercise
229,Scottish-terrier,small,terrier,medium,medium,independent,occasional,regular-exercise
230,Sealyham-terrier,small,terrier,medium,medium,independent,seasonal,regular-exercise
231,Segugio-italiano,medium,foundation-stock-service,short,medium,agreeable,occasional,regular-exercise
232,Shetland-sheepdog,small,herding,long,frequent,eager-to-please,seasonal,regular-exercise
233,Shiba-inu,small,non-sporting,medium,likes-to-be-vocal,independent,seasonal,regular-exercise
234,Shih-tzu,small,toy,long,medium,agreeable,infrequent,regular-exercise
235,Shikoku,medium,foundation-stock-service,short,unknown,unknown,unknown,regular-exercise
236,Siberian-husky,medium,working,medium,likes-to-be-vocal,independent,seasonal,energetic
237,Silky-terrier,xsmall,toy,long,likes-to-be-vocal,agreeable,occasional,regular-exercise
238,Skye-terrier,medium,terrier,long,medium,independent,seasonal,regular-exercise
239,Sloughi,large,hound,smooth,infrequent,independent,infrequent,regular-exercise
240,Slovakian-wirehaired-pointer,medium,foundation-stock-service,wire,unknown,independent,occasional,energetic
241,Slovensky-cuvac,large,foundation-stock-service,long,when-necessary,unknown,regularly,calm
242,Slovensky-kopov,medium,foundation-stock-service,short,medium,unknown,seasonal,regular-exercise
243,Small-munsterlander,medium,miscellaneous-class,medium,when-necessary,agreeable,seasonal,regular-exercise
244,Smooth-fox-terrier,small,terrier,short,medium,agreeable,occasional,energetic
245,Soft-coated-wheaten-terrier,medium,terrier,long,medium,independent,infrequent,energetic
246,Spanish-mastiff,xlarge,foundation-stock-service,medium,when-necessary,unknown,seasonal,energetic
247,Spanish-water-dog,medium,herding,medium,unknown,eager-to-please,infrequent,energetic
248,Stabyhoun,medium,foundation-stock-service,medium,frequent,easy-training,seasonal,energetic
249,Staffordshire-bull-terrier,medium,terrier,short,medium,may-be-stubborn,occasional,energetic
250,Standard-schnauzer,medium,working,medium,medium,independent,infrequent,regular-exercise
251,Sussex-spaniel,medium,sporting,medium,medium,independent,seasonal,regular-exercise
252,Swedish-lapphund,medium,foundation-stock-service,medium,unknown,may-be-stubborn,seasonal,regular-exercise
253,Swedish-vallhund,small,herding,medium,medium,eager-to-please,seasonal,needs-lots-of-activity
254,Taiwan-dog,medium,foundation-stock-service,short,unknown,easy-training,seasonal,needs-lots-of-activity
255,Teddy-roosevelt-terrier,small,miscellaneous-class,short,unknown,easy-training,seasonal,energetic
256,Thai-ridgeback,medium,foundation-stock-service,short,unknown,independent,seasonal,energetic
257,Tibetan-mastiff,xlarge,working,medium,frequent,independent,seasonal,regular-exercise
258,Tibetan-spaniel,small,non-sporting,medium,when-necessary,agreeable,seasonal,calm
259,Tibetan-terrier,small,non-sporting,long,medium,independent,infrequent,energetic
260,Tornjak,large,foundation-stock-service,long,unknown,easy-training,unknown,calm
261,Tosa,large,foundation-stock-service,short,unknown,agreeable,occasional,calm
262,Toy-fox-terrier,xsmall,toy,smooth,medium,eager-to-please,occasional,energetic
263,Transylvanian-hound,medium,foundation-stock-service,short,unknown,may-be-stubborn,unknown,needs-lots-of-activity
264,Treeing-tennessee-brindle,medium,foundation-stock-service,short,likes-to-be-vocal,agreeable,occasional,regular-exercise
265,Treeing-walker-coonhound,large,hound,short,frequent,independent,seasonal,regular-exercise
266,Vizsla,medium,sporting,smooth,medium,eager-to-please,seasonal,energetic
267,Weimaraner,large,sporting,smooth,medium,eager-to-please,seasonal,needs-lots-of-activity
268,Welsh-springer-spaniel,medium,sporting,medium,medium,easy-training,seasonal,energetic
269,Welsh-terrier,small,terrier,medium,medium,agreeable,occasional,energetic
270,West-highland-white-terrier,small,terrier,medium,likes-to-be-vocal,agreeable,seasonal,regular-exercise
271,Wetterhoun,large,foundation-stock-service,medium,when-necessary,may-be-stubborn,regularly,regular-exercise
272,Whippet,medium,hound,smooth,when-necessary,independent,occasional,regular-exercise
273,Wire-fox-terrier,small,terrier,wire,medium,agreeable,infrequent,regular-exercise
274,Wirehaired-pointing-griffon,medium,sporting,wire,medium,agreeable,seasonal,needs-lots-of-activity
275,Wirehaired-vizsla,medium,sporting,wire,medium,agreeable,seasonal,energetic
276,Working-kelpie,medium,foundation-stock-service,short,when-necessary,easy-training,seasonal,energetic
277,Xoloitzcuintli,medium,non-sporting,hairless,medium,agreeable,infrequent,energetic
278,Yakutian-laika,medium,foundation-stock-service,medium,medium,may-be-stubborn,seasonal,regular-exercise
279,Yorkshire-terrier,xsmall,toy,long,medium,may-be-stubborn,infrequent,regular-exercise
